"Community","Plant_species","Plant_service"
"Zabalo","Aiphanes ulei","Stem_Utensils & tools_Hunting and fishing"
"Zabalo","Astrocaryum chambira","Fruit_Cultural_Personal adornment"
"Zabalo","Astrocaryum chambira","Seed_Human food_Food"
"Zabalo","Astrocaryum chambira","Spear leaf_Cultural_Clothes and accessories"
"Zabalo","Astrocaryum chambira","Spear leaf_Cultural_Personal adornment"
"Zabalo","Astrocaryum chambira","Spear leaf_Utensils & tools_Domestic utensils"
"Zabalo","Astrocaryum chambira","Spear leaf_Utensils & tools_Hunting and fishing"
"Zabalo","Astrocaryum chambira","Spear leaf_Utensils & tools_Rope"
"Zabalo","Astrocaryum chambira","Stem_Other_Miscellaneous"
"Zabalo","Astrocaryum jauari","Fruit_Cultural_Personal adornment"
"Zabalo","Astrocaryum jauari","Spear leaf_Cultural_Clothes and accessories"
"Zabalo","Astrocaryum urostachys","Fruit_Cultural_Personal adornment"
"Zabalo","Astrocaryum urostachys","Fruit_Utensils & tools_Other"
"Zabalo","Astrocaryum urostachys","Seed_Human food_Food"
"Zabalo","Astrocaryum urostachys","Spear leaf_Cultural_Clothes and accessories"
"Zabalo","Attalea butyracea","Entire leaf_Construction_Thatch"
"Zabalo","Attalea butyracea","Seed_Other_Miscellaneous"
"Zabalo","Attalea butyracea","Stem_Other_Miscellaneous"
"Zabalo","Attalea insignis","Petiole_Utensils & tools_Hunting and fishing"
"Zabalo","Attalea insignis","Petiole_Utensils & tools_Labour tools"
"Zabalo","Attalea maripa","Fruit_Cultural_Personal adornment"
"Zabalo","Attalea maripa","Fruit_Utensils & tools_Other"
"Zabalo","Attalea maripa","Petiole_Utensils & tools_Domestic utensils"
"Zabalo","Attalea maripa","Petiole_Utensils & tools_Hunting and fishing"
"Zabalo","Attalea maripa","Petiole_Utensils & tools_Labour tools"
"Zabalo","Attalea maripa","Spear leaf_Cultural_Clothes and accessories"
"Zabalo","Bactris concinna","Seed_Cultural_Personal adornment"
"Zabalo","Bactris concinna","Seed_Human food_Food"
"Zabalo","Bactris concinna","Seed_Utensils & tools_Other"
"Zabalo","Bactris corossilla","Seed_Human food_Food"
"Zabalo","Bactris maraja","Seed_Human food_Food"
"Zabalo","Bactris maraja","Stem_Utensils & tools_Hunting and fishing"
"Zabalo","Desmoncus giganteus","Seed_Utensils & tools_Other"
"Zabalo","Euterpe precatoria","Fruit_Human food_Beverages"
"Zabalo","Euterpe precatoria","Fruit_Human food_Food"
"Zabalo","Euterpe precatoria","Palm heart_Human food_Food"
"Zabalo","Euterpe precatoria","Seed_Cultural_Personal adornment"
"Zabalo","Euterpe precatoria","Stem_Utensils & tools_Hunting and fishing"
"Zabalo","Geonoma brongniartii","Entire leaf_Construction_Thatch"
"Zabalo","Geonoma macrostachys","Entire leaf_Construction_Thatch"
"Zabalo","Geonoma maxima","Stem_Utensils & tools_Hunting and fishing"
"Zabalo","Geonoma stricta","Entire leaf_Utensils & tools_Domestic utensils"
"Zabalo","Hyospathe elegans","Palm heart_Cultural_Ritual"
"Zabalo","Iriartea deltoidea","Entire leaf_Construction_Thatch"
"Zabalo","Iriartea deltoidea","Palm heart_Human food_Food"
"Zabalo","Iriartea deltoidea","Seed_Cultural_Personal adornment"
"Zabalo","Iriartea deltoidea","Seed_Human food_Food"
"Zabalo","Iriartea deltoidea","Seed_Utensils & tools_Other"
"Zabalo","Iriartea deltoidea","Stem_Construction_Houses"
"Zabalo","Iriartea deltoidea","Stem_Other_Miscellaneous"
"Zabalo","Iriartea deltoidea","Stem_Utensils & tools_Hunting and fishing"
"Zabalo","Mauritia flexuosa","Entire leaf_Fuel_Other"
"Zabalo","Mauritia flexuosa","Fruit_Human food_Beverages"
"Zabalo","Mauritia flexuosa","Fruit_Human food_Food"
"Zabalo","Mauritia flexuosa","Palm heart_Human food_Food"
"Zabalo","Mauritia flexuosa","Spear leaf_Cultural_Personal adornment"
"Zabalo","Mauritia flexuosa","Spear leaf_Utensils & tools_Domestic utensils"
"Zabalo","Mauritia flexuosa","Stem_Other_Miscellaneous"
"Zabalo","Mauritiella armata","Stem_Utensils & tools_Hunting and fishing"
"Zabalo","Oenocarpus bataua","Entire leaf_Construction_Thatch"
"Zabalo","Oenocarpus bataua","Entire leaf_Utensils & tools_Domestic utensils"
"Zabalo","Oenocarpus bataua","Fruit_Cultural_Cosmetic"
"Zabalo","Oenocarpus bataua","Fruit_Human food_Beverages"
"Zabalo","Oenocarpus bataua","Fruit_Human food_Food"
"Zabalo","Oenocarpus bataua","Fruit_Human food_Oils"
"Zabalo","Oenocarpus bataua","Leaf sheath_Utensils & tools_Hunting and fishing"
"Zabalo","Oenocarpus bataua","Palm heart_Human food_Food"
"Zabalo","Oenocarpus bataua","Seed_Cultural_Personal adornment"
"Zabalo","Oenocarpus bataua","Stem_Other_Miscellaneous"
"Zabalo","Oenocarpus mapora","Fruit_Human food_Beverages"
"Zabalo","Oenocarpus mapora","Fruit_Human food_Food"
"Zabalo","Oenocarpus mapora","Petiole_Utensils & tools_Domestic utensils"
"Zabalo","Oenocarpus mapora","Stem_Construction_Houses"
"Zabalo","Oenocarpus mapora","Stem_Utensils & tools_Hunting and fishing"
"Zabalo","Phytelephas tenuicaulis","Entire leaf_Construction_Thatch"
"Zabalo","Phytelephas tenuicaulis","Seed_Cultural_Personal adornment"
"Zabalo","Phytelephas tenuicaulis","Seed_Human food_Food"
"Zabalo","Phytelephas tenuicaulis","Seed_Utensils & tools_Other"
"Zabalo","Prestoea schultzeana","Seed_Cultural_Recreational"
"Zabalo","Socratea exorrhiza","Root_Utensils & tools_Domestic utensils"
"Zabalo","Socratea exorrhiza","Seed_Cultural_Personal adornment"
"Zabalo","Socratea exorrhiza","Seed_Utensils & tools_Other"
"Zabalo","Socratea exorrhiza","Stem_Construction_Houses"
"Zabalo","Socratea exorrhiza","Stem_Utensils & tools_Hunting and fishing"
"Yucuna","Astrocaryum chambira","Fruit_Cultural_Personal adornment"
"Yucuna","Astrocaryum chambira","Fruit_Cultural_Ritual"
"Yucuna","Astrocaryum chambira","Fruit_Human food_Food"
"Yucuna","Astrocaryum chambira","Seed_Human food_Beverages"
"Yucuna","Astrocaryum chambira","Seed_Human food_Food"
"Yucuna","Astrocaryum chambira","Seed_Other_Miscellaneous"
"Yucuna","Astrocaryum chambira","Spear leaf_Cultural_Clothes and accessories"
"Yucuna","Astrocaryum chambira","Spear leaf_Cultural_Personal adornment"
"Yucuna","Astrocaryum chambira","Spear leaf_Utensils & tools_Domestic utensils"
"Yucuna","Astrocaryum chambira","Spear leaf_Utensils & tools_Hunting and fishing"
