6,4,2,5,10,0,1,3,8,9,7
a,aikua,aiti,aitika,aitikua,aitimajanuka,akaminu,akatsujunuka,anajiki,aparua,aramujuna
akasujuka,akuinaja,aitinuka,atanu,akasujunuka,amimaja,akasujunu,anaijiki,atijianuka,aramujuo,ata
akasujutsaka,amunu,akamuiraka,chana,atija,anakijaunuka,akatsuju,anakijaunu,ichakau,ichakui,ati
atinu,aramujun,akauminu,chara,inianu,anitiama,amitachi,aramujuka,ichanu,ikichanu,chaiku
aukukujinia,atijia,amasha,charanishujanu,itiauraja,charanisijanu,ani,chama,ishinu,itiumu,charanishijanu
chan,cha,anima,chitiakaka,iya,ikimajicha,aramaja,chamaja,kau,katsata,ichanuka
icha,chameiri,atakua,inauja,kayapiwa,ka,arishunu,iki,kaushicha,kaushichana,ichaukui
iria,ikimajanuka,atsatsaka,iriaja,mi̱ataikua,kanata,atupama,ikicha,kawiriaja,kuariu,ikichajinia
kanaja,ikuama,ikimajanu,iriripi,witsaja,kiaraka,chatima,itiama,kawiriya,nukaja,ikichanuiki
kauraka,iniaunu,ikinia,jinia,witsaka,kiniairi,chimijauka,itiuarajinia,kayapi,nukichanu,ja
kaurakaikicha,injia,ikinu,kanakua,yakawi,kiniana,chitianu,kana,kayapui,nukima,kayapuina
kuakinu,kanati,irichanu,katsaka,,kiraka,ikuaka,ki,mirasua,nukinu,kuatichatai
kujiinianu,kataka,irishiaiti,kumanu,,kiriiana,imininu,kujinianu,napanicha,panicha,kuyaka
kupanicha,kawiriaka,iriyanu,kunumashira,,kuahu,iwanu,kunaja,rikuanuka,pucha,na
majicha,kawirija,kati,mashikuka,,kuanu,kawiria,marujanu,taykua,tauku,nukichaja
mi̱a,kiniaja,kupanimajicha,nishijanu,,kutukinu,kinia,marutanuka,uina,witsata,piatasau
nishauti,kui,kuyajaka,nukitia,,nayapui,kiraitia,mashakinu,,,riakuanu
puchakinu,nuka,meirijanu,rapakajinia,,niatajia,ku,niakawiria,,,rikuanu
wikaishina,nukiti,nukapanicha,tana,,niatajinia,manuka,nukaka,,,taraitianu
wikashinu,nuta,nukata,witsa,,nukaki,meiri,puchakirinu,,,tauikua
witsanuka,pajinu,panikia,yanachaiku,,numanaka,niata,pukuika,,,yana
,panichanu,pirukuatinu,,,pamuchanu,nishika,taikua,,,
,puchaka,quehaja,,,puchacha,nishima,taka,,,
,tia,shima,,,puchakinia,nukicha,takujinianu,,,
,utatijinia,shiriapicha,,,tamanu,panimajicha,tamasa,,,
,utatinuka,ta,,,tamanuka,piatsau,taukuruka,,,
,,tamakukinia,,,tarajita,rapaka,ti,,,
,,tapuka,,,taujinuka,tsurakija,tina,,,
,,tawijuka,,,taukimajanuka,tukinu,,,,
,,ukaititika,,,witsanu,witsakanu,,,,
,,,,,yakawiria,,,,,
